ESD Racing / ESD Academy - Programme aerodynamique PHOENIX
CONFIDENTIEL - recherche interne - donnees fictives
run,front_wing_deg,rear_wing_deg,drag_coeff,downforce_N
000,8.167,19.478,0.493261,2762.898
001,4.602,12.782,0.242897,2147.599
002,5.283,22.916,0.480185,1950.607
003,4.138,22.617,0.469260,2689.379
004,2.209,20.571,0.212570,2695.111
005,9.723,10.975,0.438124,2744.889
006,6.958,9.020,0.494464,2448.405
007,3.624,21.845,0.383181,2005.059
008,4.018,16.471,0.260091,2159.563
009,4.418,14.033,0.291917,1829.787
010,6.929,10.639,0.487889,1736.231
011,4.722,17.944,0.332415,2895.221
012,8.892,13.468,0.290343,1831.687
013,2.793,15.102,0.461527,2712.400
014,2.451,10.995,0.412102,1781.447
015,4.144,22.578,0.376730,2361.032
016,9.680,17.284,0.365997,1762.260
017,11.442,21.113,0.333089,2168.033
018,9.926,16.497,0.490827,1873.486
019,10.474,20.007,0.286267,2725.132
020,5.615,9.442,0.292325,2389.905
021,10.008,13.454,0.275086,1798.074
022,11.874,15.821,0.414053,2784.327
023,7.768,22.660,0.391630,2675.094
024,3.777,13.273,0.421580,2078.151
025,7.363,16.007,0.242606,2665.562
026,8.953,18.297,0.270435,2417.364
027,10.068,10.095,0.221286,2203.604
028,4.280,10.088,0.421954,2068.411
029,3.076,18.088,0.407105,1973.260
030,11.779,15.664,0.481688,1873.855
031,5.588,10.979,0.329890,2284.625
032,3.379,11.634,0.428731,2346.417
033,2.146,10.538,0.362037,2880.628
034,8.839,21.224,0.285377,1982.803
035,6.852,21.078,0.380543,1925.324
036,7.549,14.639,0.357659,2053.772
037,11.744,20.303,0.406060,1767.345
038,10.688,22.167,0.411712,2172.273
039,7.402,16.540,0.337077,2121.465
040,10.981,12.351,0.221134,2580.217
041,3.772,9.605,0.456458,1980.656
042,11.727,11.839,0.298646,2626.498
043,4.230,17.370,0.276429,2627.113
044,6.741,15.330,0.378668,2201.874
045,7.354,15.693,0.362539,2192.965
046,9.590,16.993,0.306008,2685.623
047,2.946,14.843,0.462788,2168.177
048,11.847,16.172,0.468161,2145.062
049,10.013,20.173,0.256856,1941.558
050,3.278,19.932,0.467653,2696.125
051,7.583,21.489,0.462341,2676.605
052,7.582,9.367,0.248878,2242.036
053,2.891,10.238,0.452454,1911.607
054,10.355,15.546,0.363162,1885.031
055,11.222,13.748,0.462397,2215.079
056,8.489,14.674,0.314611,1961.313
057,7.214,22.024,0.341560,2282.727
058,2.347,17.412,0.273622,2571.855
059,9.594,15.895,0.461538,2384.294
060,4.954,9.486,0.374237,1918.037
061,2.768,11.047,0.374449,2799.123
062,6.902,14.029,0.467173,2436.634
063,9.682,10.500,0.388907,2776.673
064,4.492,11.835,0.231523,1936.503
065,9.208,15.057,0.288696,2277.743
066,11.875,17.132,0.245290,1871.625
067,11.416,9.266,0.229284,2239.153
068,7.617,12.761,0.383707,2518.511
069,8.288,11.481,0.383865,2459.172
070,9.807,11.972,0.376856,2167.024
071,3.782,21.933,0.308950,2445.643
072,6.944,24.415,0.400889,1813.370
073,6.641,10.177,0.389735,2089.437
074,8.892,11.458,0.410687,2095.994
075,9.082,19.030,0.379358,2895.429
076,2.484,19.848,0.395431,1756.504
077,9.838,10.391,0.461935,1912.884
078,6.490,10.702,0.346992,1919.773
079,4.074,17.412,0.402058,2264.717
080,9.192,19.589,0.282397,2571.542
081,9.193,23.751,0.450343,2811.048
082,7.947,20.103,0.222393,2230.761
083,10.622,24.405,0.378492,2312.515
084,11.297,19.859,0.449811,2893.131
085,9.534,24.376,0.330210,2194.154
086,3.727,9.659,0.274267,2228.151
087,5.891,18.422,0.205154,2651.243
088,5.063,9.874,0.486645,2887.655
089,7.107,10.465,0.218548,2058.573
090,9.828,15.025,0.487393,1817.568
091,10.159,14.859,0.424050,1931.341
092,10.302,22.563,0.379516,2195.842
093,9.020,22.093,0.277812,2559.479
094,2.036,17.461,0.401811,2534.610
095,6.330,14.157,0.440424,1971.444
096,4.374,13.444,0.356198,2716.792
097,5.644,23.141,0.240496,1827.368
098,6.619,16.247,0.433817,2834.353
099,10.974,24.698,0.434055,1770.845
100,6.331,14.630,0.402972,2890.402
101,7.290,24.738,0.200334,2060.037
102,7.227,11.387,0.230941,2614.032
103,11.623,14.381,0.398602,2343.871
104,5.156,23.463,0.326416,1824.568
105,7.477,21.957,0.445205,2433.277
106,7.030,19.742,0.413955,1730.995
107,8.640,19.008,0.271025,2133.877
108,11.405,19.165,0.289510,2373.884
109,5.241,23.411,0.274487,2635.297
110,8.584,22.354,0.391128,2036.623
111,4.295,14.263,0.425553,1769.258
112,6.203,13.281,0.373807,2255.372
113,2.033,9.565,0.432069,2590.759
114,8.575,21.541,0.233752,2641.995
115,6.561,24.811,0.320970,2309.106
116,7.753,9.827,0.479486,2620.510
117,3.865,17.656,0.416724,2843.261
118,11.186,13.578,0.358758,2405.129
119,8.961,19.182,0.426728,2415.377

Validation de la derniere serie :
ESD{la_derniere_ligne_droite}
Fin du rapport PHOENIX.
